HNode,LNode,Time,Makespan,SOC,SOL
HNode: 60, LNode: 285, solved: 8ms, makespan: 58, sum_of_costs: 12471, sum_of_loss: 11206
HNode: 118, LNode: 569, solved: 11ms, makespan: 116, sum_of_costs: 13645, sum_of_loss: 10768
HNode: 56, LNode: 261, solved: 7ms, makespan: 55, sum_of_costs: 11458, sum_of_loss: 9904
HNode: 59, LNode: 267, solved: 8ms, makespan: 58, sum_of_costs: 12211, sum_of_loss: 10656
HNode: 121, LNode: 822, solved: 14ms, makespan: 87, sum_of_costs: 13099, sum_of_loss: 11105
HNode: 137, LNode: 637, solved: 13ms, makespan: 114, sum_of_costs: 14152, sum_of_loss: 11631
HNode: 60, LNode: 270, solved: 8ms, makespan: 59, sum_of_costs: 12248, sum_of_loss: 10908
HNode: 88, LNode: 565, solved: 11ms, makespan: 70, sum_of_costs: 12132, sum_of_loss: 10449
HNode: 70, LNode: 307, solved: 8ms, makespan: 68, sum_of_costs: 11716, sum_of_loss: 10356
HNode: 67, LNode: 310, solved: 8ms, makespan: 65, sum_of_costs: 12164, sum_of_loss: 10574
HNode: 150, LNode: 794, solved: 15ms, makespan: 123, sum_of_costs: 14412, sum_of_loss: 11697
HNode: 96, LNode: 438, solved: 10ms, makespan: 92, sum_of_costs: 13414, sum_of_loss: 11359
HNode: 156, LNode: 665, solved: 15ms, makespan: 109, sum_of_costs: 13837, sum_of_loss: 11897
HNode: 63, LNode: 289, solved: 9ms, makespan: 62, sum_of_costs: 12663, sum_of_loss: 11099
HNode: 58, LNode: 260, solved: 8ms, makespan: 57, sum_of_costs: 11863, sum_of_loss: 10302
HNode: 896, LNode: 10972, solved: 129ms, makespan: 131, sum_of_costs: 13964, sum_of_loss: 11373
HNode: 55, LNode: 242, solved: 7ms, makespan: 54, sum_of_costs: 11691, sum_of_loss: 10243
HNode: 86, LNode: 378, solved: 9ms, makespan: 84, sum_of_costs: 12347, sum_of_loss: 10579
HNode: 103, LNode: 468, solved: 10ms, makespan: 99, sum_of_costs: 13258, sum_of_loss: 11080
HNode: 65, LNode: 345, solved: 9ms, makespan: 56, sum_of_costs: 11641, sum_of_loss: 10300
HNode: 83, LNode: 379, solved: 9ms, makespan: 81, sum_of_costs: 12874, sum_of_loss: 10706
HNode: 97, LNode: 486, solved: 11ms, makespan: 80, sum_of_costs: 12023, sum_of_loss: 10477
HNode: 59, LNode: 257, solved: 8ms, makespan: 58, sum_of_costs: 12186, sum_of_loss: 10553
HNode: 55, LNode: 250, solved: 7ms, makespan: 54, sum_of_costs: 11973, sum_of_loss: 10191
HNode: 110, LNode: 533, solved: 12ms, makespan: 81, sum_of_costs: 12581, sum_of_loss: 10900
HNode: 70, LNode: 327, solved: 8ms, makespan: 68, sum_of_costs: 12129, sum_of_loss: 10527
HNode: 119, LNode: 534, solved: 12ms, makespan: 117, sum_of_costs: 14167, sum_of_loss: 11665
HNode: 88, LNode: 429, solved: 10ms, makespan: 77, sum_of_costs: 12906, sum_of_loss: 10994
HNode: 62, LNode: 279, solved: 8ms, makespan: 61, sum_of_costs: 12246, sum_of_loss: 10831
HNode: 87, LNode: 404, solved: 10ms, makespan: 84, sum_of_costs: 11888, sum_of_loss: 10344
HNode: 85, LNode: 393, solved: 10ms, makespan: 79, sum_of_costs: 12708, sum_of_loss: 10809
HNode: 60, LNode: 271, solved: 8ms, makespan: 59, sum_of_costs: 13042, sum_of_loss: 11182
HNode: 68, LNode: 397, solved: 9ms, makespan: 59, sum_of_costs: 11580, sum_of_loss: 10241
HNode: 63, LNode: 285, solved: 8ms, makespan: 61, sum_of_costs: 12234, sum_of_loss: 10701
HNode: 86, LNode: 393, solved: 9ms, makespan: 84, sum_of_costs: 12993, sum_of_loss: 10586
HNode: 90, LNode: 421, solved: 10ms, makespan: 89, sum_of_costs: 13525, sum_of_loss: 11241
HNode: 58, LNode: 258, solved: 8ms, makespan: 57, sum_of_costs: 12532, sum_of_loss: 11000
HNode: 100, LNode: 448, solved: 10ms, makespan: 98, sum_of_costs: 12097, sum_of_loss: 10538
HNode: 91, LNode: 399, solved: 10ms, makespan: 86, sum_of_costs: 12499, sum_of_loss: 10615
HNode: 59, LNode: 258, solved: 8ms, makespan: 58, sum_of_costs: 11701, sum_of_loss: 10111
HNode: 74, LNode: 360, solved: 9ms, makespan: 69, sum_of_costs: 12143, sum_of_loss: 10851
HNode: 269, LNode: 2913, solved: 36ms, makespan: 89, sum_of_costs: 13061, sum_of_loss: 10695
HNode: 266, LNode: 1267, solved: 22ms, makespan: 196, sum_of_costs: 19629, sum_of_loss: 14263
HNode: 363, LNode: 4663, solved: 54ms, makespan: 67, sum_of_costs: 11815, sum_of_loss: 10198
HNode: 58, LNode: 266, solved: 8ms, makespan: 57, sum_of_costs: 12247, sum_of_loss: 10689
HNode: 72, LNode: 335, solved: 9ms, makespan: 71, sum_of_costs: 12090, sum_of_loss: 10681
HNode: 87, LNode: 392, solved: 10ms, makespan: 84, sum_of_costs: 12884, sum_of_loss: 11318
HNode: 168, LNode: 971, solved: 17ms, makespan: 118, sum_of_costs: 13146, sum_of_loss: 10985
HNode: 180, LNode: 770, solved: 16ms, makespan: 175, sum_of_costs: 17997, sum_of_loss: 13365
HNode: 94, LNode: 572, solved: 11ms, makespan: 72, sum_of_costs: 11795, sum_of_loss: 10385
HNode: 344, LNode: 4838, solved: 43ms, makespan: 101, sum_of_costs: 13550, sum_of_loss: 11607
HNode: 96, LNode: 476, solved: 11ms, makespan: 87, sum_of_costs: 13351, sum_of_loss: 10875
HNode: 78, LNode: 371, solved: 10ms, makespan: 72, sum_of_costs: 12945, sum_of_loss: 11408
HNode: 1156, LNode: 12794, solved: 154ms, makespan: 90, sum_of_costs: 12136, sum_of_loss: 10253
HNode: 64, LNode: 297, solved: 8ms, makespan: 62, sum_of_costs: 12660, sum_of_loss: 10975
HNode: 64, LNode: 293, solved: 8ms, makespan: 62, sum_of_costs: 12034, sum_of_loss: 10500
HNode: 117, LNode: 861, solved: 14ms, makespan: 81, sum_of_costs: 11975, sum_of_loss: 10510
HNode: 68, LNode: 323, solved: 8ms, makespan: 63, sum_of_costs: 12177, sum_of_loss: 10588
HNode: 72, LNode: 339, solved: 9ms, makespan: 68, sum_of_costs: 12492, sum_of_loss: 10995
HNode: 78, LNode: 355, solved: 9ms, makespan: 75, sum_of_costs: 12137, sum_of_loss: 10644
HNode: 83, LNode: 377, solved: 9ms, makespan: 81, sum_of_costs: 12998, sum_of_loss: 10710
HNode: 114, LNode: 595, solved: 13ms, makespan: 96, sum_of_costs: 13383, sum_of_loss: 11660
HNode: 105, LNode: 476, solved: 11ms, makespan: 97, sum_of_costs: 13514, sum_of_loss: 11102
HNode: 96, LNode: 614, solved: 12ms, makespan: 68, sum_of_costs: 12180, sum_of_loss: 10825
HNode: 112, LNode: 955, solved: 16ms, makespan: 64, sum_of_costs: 12385, sum_of_loss: 10769
HNode: 110, LNode: 511, solved: 11ms, makespan: 104, sum_of_costs: 14560, sum_of_loss: 12060
HNode: 77, LNode: 355, solved: 9ms, makespan: 74, sum_of_costs: 12941, sum_of_loss: 10959
HNode: 115, LNode: 775, solved: 14ms, makespan: 78, sum_of_costs: 12629, sum_of_loss: 10794
HNode: 182, LNode: 837, solved: 15ms, makespan: 159, sum_of_costs: 15800, sum_of_loss: 11815
HNode: 76, LNode: 346, solved: 9ms, makespan: 74, sum_of_costs: 12784, sum_of_loss: 10840
HNode: 406, LNode: 4491, solved: 53ms, makespan: 100, sum_of_costs: 13097, sum_of_loss: 11185
HNode: 89, LNode: 440, solved: 10ms, makespan: 82, sum_of_costs: 11758, sum_of_loss: 10072
HNode: 436, LNode: 5867, solved: 66ms, makespan: 91, sum_of_costs: 12411, sum_of_loss: 10698
