HNode,LNode,Time,Makespan,SOC,SOL
HNode: 42, LNode: 196, solved: 1ms, makespan: 41, sum_of_costs: 1242, sum_of_loss: 1137
HNode: 56, LNode: 247, solved: 1ms, makespan: 55, sum_of_costs: 1436, sum_of_loss: 1354
HNode: 45, LNode: 203, solved: 1ms, makespan: 44, sum_of_costs: 1232, sum_of_loss: 1159
HNode: 62, LNode: 274, solved: 1ms, makespan: 61, sum_of_costs: 1484, sum_of_loss: 1289
HNode: 44, LNode: 202, solved: 1ms, makespan: 43, sum_of_costs: 1262, sum_of_loss: 1167
HNode: 47, LNode: 213, solved: 1ms, makespan: 46, sum_of_costs: 1296, sum_of_loss: 1235
HNode: 57, LNode: 268, solved: 1ms, makespan: 56, sum_of_costs: 1242, sum_of_loss: 1112
HNode: 52, LNode: 244, solved: 1ms, makespan: 51, sum_of_costs: 1354, sum_of_loss: 1165
HNode: 48, LNode: 200, solved: 1ms, makespan: 47, sum_of_costs: 1219, sum_of_loss: 1096
HNode: 68, LNode: 442, solved: 1ms, makespan: 52, sum_of_costs: 1319, sum_of_loss: 1230
HNode: 43, LNode: 195, solved: 1ms, makespan: 42, sum_of_costs: 1082, sum_of_loss: 1039
HNode: 49, LNode: 228, solved: 1ms, makespan: 48, sum_of_costs: 1166, sum_of_loss: 1126
HNode: 76, LNode: 356, solved: 1ms, makespan: 72, sum_of_costs: 1397, sum_of_loss: 1271
HNode: 137, LNode: 556, solved: 2ms, makespan: 130, sum_of_costs: 1754, sum_of_loss: 1494
HNode: 96, LNode: 432, solved: 1ms, makespan: 93, sum_of_costs: 1567, sum_of_loss: 1416
HNode: 50, LNode: 234, solved: 1ms, makespan: 49, sum_of_costs: 1263, sum_of_loss: 1167
HNode: 51, LNode: 240, solved: 1ms, makespan: 50, sum_of_costs: 1267, sum_of_loss: 1156
HNode: 47, LNode: 210, solved: 1ms, makespan: 46, sum_of_costs: 1173, sum_of_loss: 1135
HNode: 59, LNode: 324, solved: 1ms, makespan: 50, sum_of_costs: 1284, sum_of_loss: 1212
HNode: 85, LNode: 801, solved: 2ms, makespan: 43, sum_of_costs: 1215, sum_of_loss: 1139
HNode: 57, LNode: 254, solved: 1ms, makespan: 56, sum_of_costs: 1515, sum_of_loss: 1315
HNode: 46, LNode: 202, solved: 1ms, makespan: 45, sum_of_costs: 1239, sum_of_loss: 1151
HNode: 52, LNode: 237, solved: 1ms, makespan: 51, sum_of_costs: 1341, sum_of_loss: 1280
HNode: 53, LNode: 240, solved: 1ms, makespan: 52, sum_of_costs: 1332, sum_of_loss: 1232
HNode: 86, LNode: 376, solved: 1ms, makespan: 84, sum_of_costs: 1662, sum_of_loss: 1317
HNode: 50, LNode: 225, solved: 1ms, makespan: 49, sum_of_costs: 1369, sum_of_loss: 1226
HNode: 48, LNode: 208, solved: 1ms, makespan: 47, sum_of_costs: 1323, sum_of_loss: 1192
HNode: 51, LNode: 234, solved: 1ms, makespan: 50, sum_of_costs: 1172, sum_of_loss: 1059
HNode: 55, LNode: 253, solved: 1ms, makespan: 54, sum_of_costs: 1225, sum_of_loss: 1113
HNode: 45, LNode: 204, solved: 1ms, makespan: 44, sum_of_costs: 1229, sum_of_loss: 1101
HNode: 40, LNode: 180, solved: 1ms, makespan: 39, sum_of_costs: 1327, sum_of_loss: 1219
HNode: 58, LNode: 265, solved: 1ms, makespan: 57, sum_of_costs: 1411, sum_of_loss: 1318
HNode: 49, LNode: 202, solved: 1ms, makespan: 48, sum_of_costs: 1402, sum_of_loss: 1260
HNode: 49, LNode: 217, solved: 1ms, makespan: 48, sum_of_costs: 1219, sum_of_loss: 1118
HNode: 49, LNode: 214, solved: 1ms, makespan: 48, sum_of_costs: 1476, sum_of_loss: 1343
HNode: 58, LNode: 265, solved: 1ms, makespan: 57, sum_of_costs: 1375, sum_of_loss: 1243
HNode: 48, LNode: 210, solved: 1ms, makespan: 47, sum_of_costs: 1341, sum_of_loss: 1189
HNode: 56, LNode: 253, solved: 1ms, makespan: 55, sum_of_costs: 1254, sum_of_loss: 1116
HNode: 49, LNode: 221, solved: 1ms, makespan: 46, sum_of_costs: 1317, sum_of_loss: 1168
HNode: 49, LNode: 222, solved: 1ms, makespan: 48, sum_of_costs: 1356, sum_of_loss: 1281
HNode: 55, LNode: 244, solved: 1ms, makespan: 54, sum_of_costs: 1230, sum_of_loss: 1122
HNode: 49, LNode: 223, solved: 1ms, makespan: 48, sum_of_costs: 1355, sum_of_loss: 1268
HNode: 50, LNode: 222, solved: 1ms, makespan: 49, sum_of_costs: 1221, sum_of_loss: 1110
HNode: 51, LNode: 233, solved: 1ms, makespan: 50, sum_of_costs: 1206, sum_of_loss: 1091
