HNode,LNode,Time,Makespan,SOC,SOL
HNode: 49, LNode: 212, solved: 5ms, makespan: 48, sum_of_costs: 1253, sum_of_loss: 1163
HNode: 54, LNode: 249, solved: 6ms, makespan: 53, sum_of_costs: 1506, sum_of_loss: 1374
HNode: 45, LNode: 200, solved: 5ms, makespan: 44, sum_of_costs: 1253, sum_of_loss: 1183
HNode: 61, LNode: 273, solved: 6ms, makespan: 60, sum_of_costs: 1425, sum_of_loss: 1288
HNode: 44, LNode: 199, solved: 5ms, makespan: 43, sum_of_costs: 1229, sum_of_loss: 1171
HNode: 45, LNode: 206, solved: 5ms, makespan: 44, sum_of_costs: 1273, sum_of_loss: 1226
HNode: 59, LNode: 271, solved: 5ms, makespan: 58, sum_of_costs: 1241, sum_of_loss: 1130
HNode: 52, LNode: 241, solved: 5ms, makespan: 51, sum_of_costs: 1327, sum_of_loss: 1151
HNode: 48, LNode: 222, solved: 5ms, makespan: 46, sum_of_costs: 1179, sum_of_loss: 1077
HNode: 47, LNode: 218, solved: 5ms, makespan: 46, sum_of_costs: 1250, sum_of_loss: 1156
HNode: 46, LNode: 210, solved: 5ms, makespan: 45, sum_of_costs: 1076, sum_of_loss: 1022
HNode: 49, LNode: 228, solved: 5ms, makespan: 48, sum_of_costs: 1146, sum_of_loss: 1087
HNode: 55, LNode: 253, solved: 5ms, makespan: 54, sum_of_costs: 1290, sum_of_loss: 1083
HNode: 49, LNode: 221, solved: 5ms, makespan: 48, sum_of_costs: 1223, sum_of_loss: 1110
HNode: 52, LNode: 235, solved: 5ms, makespan: 51, sum_of_costs: 1305, sum_of_loss: 1224
HNode: 52, LNode: 238, solved: 5ms, makespan: 51, sum_of_costs: 1338, sum_of_loss: 1206
HNode: 51, LNode: 236, solved: 5ms, makespan: 50, sum_of_costs: 1232, sum_of_loss: 1153
HNode: 42, LNode: 195, solved: 5ms, makespan: 41, sum_of_costs: 1177, sum_of_loss: 1127
HNode: 45, LNode: 203, solved: 5ms, makespan: 44, sum_of_costs: 1242, sum_of_loss: 1173
HNode: 38, LNode: 168, solved: 5ms, makespan: 37, sum_of_costs: 1141, sum_of_loss: 1104
HNode: 53, LNode: 236, solved: 6ms, makespan: 52, sum_of_costs: 1392, sum_of_loss: 1304
HNode: 44, LNode: 196, solved: 5ms, makespan: 43, sum_of_costs: 1226, sum_of_loss: 1150
HNode: 55, LNode: 249, solved: 5ms, makespan: 53, sum_of_costs: 1375, sum_of_loss: 1284
HNode: 50, LNode: 230, solved: 5ms, makespan: 49, sum_of_costs: 1373, sum_of_loss: 1232
HNode: 49, LNode: 223, solved: 5ms, makespan: 48, sum_of_costs: 1307, sum_of_loss: 1219
HNode: 46, LNode: 210, solved: 5ms, makespan: 45, sum_of_costs: 1286, sum_of_loss: 1194
HNode: 48, LNode: 215, solved: 5ms, makespan: 47, sum_of_costs: 1334, sum_of_loss: 1196
HNode: 51, LNode: 236, solved: 4ms, makespan: 50, sum_of_costs: 1134, sum_of_loss: 1051
HNode: 55, LNode: 247, solved: 5ms, makespan: 54, sum_of_costs: 1269, sum_of_loss: 1120
HNode: 46, LNode: 212, solved: 5ms, makespan: 45, sum_of_costs: 1213, sum_of_loss: 1105
HNode: 44, LNode: 199, solved: 5ms, makespan: 43, sum_of_costs: 1333, sum_of_loss: 1269
HNode: 50, LNode: 229, solved: 5ms, makespan: 49, sum_of_costs: 1349, sum_of_loss: 1250
HNode: 49, LNode: 224, solved: 5ms, makespan: 48, sum_of_costs: 1281, sum_of_loss: 1174
HNode: 49, LNode: 222, solved: 5ms, makespan: 48, sum_of_costs: 1180, sum_of_loss: 1101
HNode: 52, LNode: 243, solved: 6ms, makespan: 51, sum_of_costs: 1404, sum_of_loss: 1303
HNode: 59, LNode: 271, solved: 5ms, makespan: 58, sum_of_costs: 1366, sum_of_loss: 1209
HNode: 48, LNode: 222, solved: 5ms, makespan: 47, sum_of_costs: 1328, sum_of_loss: 1211
HNode: 50, LNode: 221, solved: 5ms, makespan: 49, sum_of_costs: 1204, sum_of_loss: 1081
HNode: 44, LNode: 200, solved: 5ms, makespan: 43, sum_of_costs: 1243, sum_of_loss: 1140
HNode: 49, LNode: 230, solved: 6ms, makespan: 48, sum_of_costs: 1360, sum_of_loss: 1303
HNode: 56, LNode: 247, solved: 5ms, makespan: 55, sum_of_costs: 1288, sum_of_loss: 1149
HNode: 48, LNode: 217, solved: 5ms, makespan: 47, sum_of_costs: 1348, sum_of_loss: 1260
HNode: 49, LNode: 222, solved: 5ms, makespan: 48, sum_of_costs: 1207, sum_of_loss: 1089
HNode: 55, LNode: 246, solved: 5ms, makespan: 54, sum_of_costs: 1209, sum_of_loss: 1066
HNode: 50, LNode: 224, solved: 5ms, makespan: 49, sum_of_costs: 1313, sum_of_loss: 1268
HNode: 51, LNode: 239, solved: 5ms, makespan: 50, sum_of_costs: 1286, sum_of_loss: 1197
HNode: 52, LNode: 232, solved: 5ms, makespan: 51, sum_of_costs: 1407, sum_of_loss: 1263
HNode: 49, LNode: 219, solved: 5ms, makespan: 48, sum_of_costs: 1241, sum_of_loss: 1133
HNode: 52, LNode: 234, solved: 5ms, makespan: 51, sum_of_costs: 1348, sum_of_loss: 1212
HNode: 57, LNode: 261, solved: 5ms, makespan: 56, sum_of_costs: 1241, sum_of_loss: 1082
HNode: 46, LNode: 208, solved: 5ms, makespan: 45, sum_of_costs: 1191, sum_of_loss: 1136
HNode: 42, LNode: 191, solved: 5ms, makespan: 41, sum_of_costs: 1269, sum_of_loss: 1129
HNode: 51, LNode: 228, solved: 5ms, makespan: 50, sum_of_costs: 1226, sum_of_loss: 1132
HNode: 45, LNode: 205, solved: 5ms, makespan: 44, sum_of_costs: 1104, sum_of_loss: 1092
HNode: 44, LNode: 200, solved: 5ms, makespan: 43, sum_of_costs: 1171, sum_of_loss: 1072
HNode: 59, LNode: 281, solved: 5ms, makespan: 57, sum_of_costs: 1229, sum_of_loss: 1094
HNode: 53, LNode: 267, solved: 6ms, makespan: 50, sum_of_costs: 1300, sum_of_loss: 1185
HNode: 45, LNode: 207, solved: 4ms, makespan: 44, sum_of_costs: 1187, sum_of_loss: 1107
HNode: 55, LNode: 251, solved: 7ms, makespan: 54, sum_of_costs: 1306, sum_of_loss: 1213
HNode: 47, LNode: 216, solved: 5ms, makespan: 46, sum_of_costs: 1330, sum_of_loss: 1220
