HNode,LNode,Time,Makespan,SOC,SOL
HNode: 42, LNode: 191, solved: 1ms, makespan: 41, sum_of_costs: 1252, sum_of_loss: 1155
HNode: 54, LNode: 236, solved: 1ms, makespan: 53, sum_of_costs: 1471, sum_of_loss: 1367
HNode: 89, LNode: 513, solved: 2ms, makespan: 74, sum_of_costs: 1522, sum_of_loss: 1360
HNode: 63, LNode: 276, solved: 1ms, makespan: 62, sum_of_costs: 1477, sum_of_loss: 1302
HNode: 65, LNode: 287, solved: 1ms, makespan: 63, sum_of_costs: 1364, sum_of_loss: 1252
HNode: 49, LNode: 208, solved: 1ms, makespan: 47, sum_of_costs: 1274, sum_of_loss: 1248
HNode: 76, LNode: 357, solved: 1ms, makespan: 73, sum_of_costs: 1395, sum_of_loss: 1196
HNode: 53, LNode: 232, solved: 1ms, makespan: 52, sum_of_costs: 1297, sum_of_loss: 1153
HNode: 46, LNode: 197, solved: 1ms, makespan: 45, sum_of_costs: 1164, sum_of_loss: 1065
HNode: 50, LNode: 237, solved: 1ms, makespan: 49, sum_of_costs: 1340, sum_of_loss: 1230
HNode: 43, LNode: 186, solved: 1ms, makespan: 42, sum_of_costs: 1112, sum_of_loss: 1060
HNode: 49, LNode: 223, solved: 1ms, makespan: 48, sum_of_costs: 1212, sum_of_loss: 1132
HNode: 105, LNode: 467, solved: 1ms, makespan: 102, sum_of_costs: 1601, sum_of_loss: 1419
HNode: 76, LNode: 368, solved: 1ms, makespan: 73, sum_of_costs: 1300, sum_of_loss: 1191
HNode: 68, LNode: 345, solved: 1ms, makespan: 63, sum_of_costs: 1505, sum_of_loss: 1313
HNode: 50, LNode: 221, solved: 1ms, makespan: 49, sum_of_costs: 1301, sum_of_loss: 1190
HNode: 51, LNode: 224, solved: 1ms, makespan: 50, sum_of_costs: 1253, sum_of_loss: 1169
HNode: 75, LNode: 340, solved: 1ms, makespan: 73, sum_of_costs: 1273, sum_of_loss: 1233
HNode: 45, LNode: 192, solved: 1ms, makespan: 44, sum_of_costs: 1264, sum_of_loss: 1202
HNode: 44, LNode: 195, solved: 1ms, makespan: 43, sum_of_costs: 1185, sum_of_loss: 1125
HNode: 70, LNode: 319, solved: 1ms, makespan: 69, sum_of_costs: 1720, sum_of_loss: 1446
HNode: 52, LNode: 230, solved: 1ms, makespan: 50, sum_of_costs: 1288, sum_of_loss: 1193
HNode: 89, LNode: 470, solved: 1ms, makespan: 79, sum_of_costs: 1546, sum_of_loss: 1489
HNode: 52, LNode: 233, solved: 1ms, makespan: 51, sum_of_costs: 1350, sum_of_loss: 1210
HNode: 86, LNode: 378, solved: 1ms, makespan: 84, sum_of_costs: 1530, sum_of_loss: 1285
HNode: 61, LNode: 277, solved: 1ms, makespan: 58, sum_of_costs: 1414, sum_of_loss: 1291
HNode: 51, LNode: 224, solved: 1ms, makespan: 50, sum_of_costs: 1293, sum_of_loss: 1144
HNode: 51, LNode: 228, solved: 1ms, makespan: 50, sum_of_costs: 1156, sum_of_loss: 1071
HNode: 57, LNode: 252, solved: 1ms, makespan: 56, sum_of_costs: 1292, sum_of_loss: 1137
HNode: 45, LNode: 206, solved: 1ms, makespan: 44, sum_of_costs: 1285, sum_of_loss: 1113
HNode: 78, LNode: 401, solved: 1ms, makespan: 69, sum_of_costs: 1512, sum_of_loss: 1422
HNode: 50, LNode: 221, solved: 1ms, makespan: 49, sum_of_costs: 1338, sum_of_loss: 1258
HNode: 49, LNode: 221, solved: 1ms, makespan: 48, sum_of_costs: 1296, sum_of_loss: 1184
HNode: 50, LNode: 220, solved: 1ms, makespan: 49, sum_of_costs: 1216, sum_of_loss: 1140
HNode: 52, LNode: 220, solved: 1ms, makespan: 51, sum_of_costs: 1468, sum_of_loss: 1324
HNode: 57, LNode: 256, solved: 1ms, makespan: 56, sum_of_costs: 1357, sum_of_loss: 1264
HNode: 50, LNode: 221, solved: 1ms, makespan: 49, sum_of_costs: 1333, sum_of_loss: 1194
HNode: 51, LNode: 220, solved: 1ms, makespan: 50, sum_of_costs: 1212, sum_of_loss: 1094
HNode: 42, LNode: 192, solved: 1ms, makespan: 41, sum_of_costs: 1234, sum_of_loss: 1127
HNode: 71, LNode: 314, solved: 1ms, makespan: 69, sum_of_costs: 1435, sum_of_loss: 1348
HNode: 54, LNode: 239, solved: 1ms, makespan: 53, sum_of_costs: 1308, sum_of_loss: 1131
HNode: 49, LNode: 217, solved: 1ms, makespan: 48, sum_of_costs: 1347, sum_of_loss: 1284
HNode: 49, LNode: 219, solved: 1ms, makespan: 48, sum_of_costs: 1217, sum_of_loss: 1106
HNode: 51, LNode: 233, solved: 1ms, makespan: 50, sum_of_costs: 1190, sum_of_loss: 1081
HNode: 50, LNode: 220, solved: 1ms, makespan: 49, sum_of_costs: 1316, sum_of_loss: 1281
HNode: 64, LNode: 292, solved: 1ms, makespan: 62, sum_of_costs: 1425, sum_of_loss: 1300
HNode: 52, LNode: 232, solved: 1ms, makespan: 51, sum_of_costs: 1342, sum_of_loss: 1239
HNode: 49, LNode: 213, solved: 1ms, makespan: 48, sum_of_costs: 1217, sum_of_loss: 1131
HNode: 49, LNode: 215, solved: 1ms, makespan: 48, sum_of_costs: 1280, sum_of_loss: 1191
HNode: 57, LNode: 258, solved: 1ms, makespan: 56, sum_of_costs: 1171, sum_of_loss: 1051
HNode: 49, LNode: 217, solved: 1ms, makespan: 48, sum_of_costs: 1282, sum_of_loss: 1164
HNode: 44, LNode: 198, solved: 1ms, makespan: 43, sum_of_costs: 1222, sum_of_loss: 1099
HNode: 51, LNode: 228, solved: 1ms, makespan: 50, sum_of_costs: 1224, sum_of_loss: 1137
HNode: 45, LNode: 201, solved: 1ms, makespan: 44, sum_of_costs: 1143, sum_of_loss: 1109
HNode: 42, LNode: 182, solved: 1ms, makespan: 41, sum_of_costs: 1213, sum_of_loss: 1097
HNode: 62, LNode: 286, solved: 1ms, makespan: 59, sum_of_costs: 1278, sum_of_loss: 1110
HNode: 53, LNode: 233, solved: 1ms, makespan: 51, sum_of_costs: 1291, sum_of_loss: 1182
HNode: 42, LNode: 183, solved: 1ms, makespan: 41, sum_of_costs: 1234, sum_of_loss: 1131
HNode: 55, LNode: 235, solved: 1ms, makespan: 54, sum_of_costs: 1247, sum_of_loss: 1178
HNode: 44, LNode: 194, solved: 1ms, makespan: 43, sum_of_costs: 1236, sum_of_loss: 1191
HNode: 52, LNode: 229, solved: 1ms, makespan: 51, sum_of_costs: 1270, sum_of_loss: 1211
HNode: 52, LNode: 235, solved: 1ms, makespan: 51, sum_of_costs: 1325, sum_of_loss: 1145
HNode: 51, LNode: 266, solved: 1ms, makespan: 43, sum_of_costs: 1236, sum_of_loss: 1146
HNode: 52, LNode: 234, solved: 1ms, makespan: 51, sum_of_costs: 1213, sum_of_loss: 1133
