HNode,LNode,Time,Makespan,SOC,SOL
HNode: 41, LNode: 182, solved: 1ms, makespan: 40, sum_of_costs: 1205, sum_of_loss: 1122
HNode: 54, LNode: 253, solved: 1ms, makespan: 53, sum_of_costs: 1595, sum_of_loss: 1429
HNode: 45, LNode: 206, solved: 1ms, makespan: 44, sum_of_costs: 1197, sum_of_loss: 1150
HNode: 60, LNode: 273, solved: 1ms, makespan: 59, sum_of_costs: 1467, sum_of_loss: 1301
HNode: 44, LNode: 199, solved: 1ms, makespan: 43, sum_of_costs: 1247, sum_of_loss: 1176
HNode: 44, LNode: 203, solved: 1ms, makespan: 43, sum_of_costs: 1231, sum_of_loss: 1209
HNode: 57, LNode: 264, solved: 1ms, makespan: 56, sum_of_costs: 1294, sum_of_loss: 1135
HNode: 52, LNode: 243, solved: 1ms, makespan: 51, sum_of_costs: 1319, sum_of_loss: 1165
HNode: 48, LNode: 214, solved: 1ms, makespan: 46, sum_of_costs: 1226, sum_of_loss: 1093
HNode: 40, LNode: 186, solved: 1ms, makespan: 39, sum_of_costs: 1232, sum_of_loss: 1157
HNode: 43, LNode: 190, solved: 1ms, makespan: 42, sum_of_costs: 1079, sum_of_loss: 1034
HNode: 49, LNode: 226, solved: 1ms, makespan: 48, sum_of_costs: 1130, sum_of_loss: 1096
HNode: 57, LNode: 250, solved: 1ms, makespan: 56, sum_of_costs: 1216, sum_of_loss: 1093
HNode: 49, LNode: 222, solved: 1ms, makespan: 48, sum_of_costs: 1196, sum_of_loss: 1128
HNode: 52, LNode: 239, solved: 1ms, makespan: 51, sum_of_costs: 1369, sum_of_loss: 1242
HNode: 50, LNode: 230, solved: 1ms, makespan: 49, sum_of_costs: 1259, sum_of_loss: 1192
HNode: 51, LNode: 234, solved: 1ms, makespan: 50, sum_of_costs: 1277, sum_of_loss: 1169
HNode: 45, LNode: 213, solved: 1ms, makespan: 44, sum_of_costs: 1234, sum_of_loss: 1155
HNode: 45, LNode: 205, solved: 6ms, makespan: 44, sum_of_costs: 1222, sum_of_loss: 1169
HNode: 38, LNode: 166, solved: 2ms, makespan: 37, sum_of_costs: 1136, sum_of_loss: 1101
HNode: 53, LNode: 251, solved: 2ms, makespan: 52, sum_of_costs: 1456, sum_of_loss: 1281
HNode: 42, LNode: 189, solved: 1ms, makespan: 41, sum_of_costs: 1240, sum_of_loss: 1149
HNode: 52, LNode: 235, solved: 1ms, makespan: 51, sum_of_costs: 1333, sum_of_loss: 1275
HNode: 50, LNode: 225, solved: 1ms, makespan: 49, sum_of_costs: 1303, sum_of_loss: 1197
HNode: 49, LNode: 226, solved: 1ms, makespan: 48, sum_of_costs: 1297, sum_of_loss: 1198
HNode: 46, LNode: 212, solved: 1ms, makespan: 45, sum_of_costs: 1320, sum_of_loss: 1220
HNode: 46, LNode: 202, solved: 1ms, makespan: 45, sum_of_costs: 1207, sum_of_loss: 1148
HNode: 51, LNode: 241, solved: 1ms, makespan: 50, sum_of_costs: 1231, sum_of_loss: 1104
HNode: 55, LNode: 249, solved: 1ms, makespan: 54, sum_of_costs: 1229, sum_of_loss: 1113
HNode: 45, LNode: 211, solved: 1ms, makespan: 44, sum_of_costs: 1265, sum_of_loss: 1119
